time,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12
0.566,0.0678474,0.108253,0.317847,0.108253,0.567848,0.108253,0.192847,0.324759,0.442848,0.324759,0.692848,0.324759,0.0678474,0.541266,0.317847,0.541266,0.567848,0.541266,0.192847,0.757772,0.442848,0.757772,0.692848,0.757772
0.567,0.0678647,0.108253,0.317865,0.108253,0.567865,0.108253,0.192865,0.324759,0.442865,0.324759,0.692865,0.324759,0.0678647,0.541266,0.317865,0.541266,0.567865,0.541266,0.192865,0.757772,0.442865,0.757772,0.692865,0.757772
0.568,0.0678821,0.108253,0.317882,0.108253,0.567882,0.108253,0.192882,0.32476,0.442882,0.32476,0.692882,0.32476,0.0678821,0.541266,0.317882,0.541266,0.567882,0.541266,0.192882,0.757772,0.442882,0.757772,0.692882,0.757772
0.569,0.0678995,0.108253,0.317899,0.108253,0.567899,0.108253,0.192899,0.32476,0.442899,0.32476,0.692899,0.32476,0.0678995,0.541266,0.317899,0.541266,0.567899,0.541266,0.192899,0.757772,0.442899,0.757772,0.692899,0.757772
0.57,0.0679167,0.108253,0.317917,0.108253,0.567917,0.108253,0.192917,0.324759,0.442917,0.324759,0.692917,0.324759,0.0679167,0.541266,0.317917,0.541266,0.567917,0.541266,0.192917,0.757772,0.442917,0.757772,0.692917,0.757772
0.571,0.0679341,0.108253,0.317934,0.108253,0.567934,0.108253,0.192934,0.324759,0.442934,0.324759,0.692934,0.324759,0.0679341,0.541266,0.317934,0.541266,0.567934,0.541266,0.192934,0.757772,0.442934,0.757772,0.692934,0.757772
0.572,0.0679516,0.108253,0.317952,0.108253,0.567952,0.108253,0.192952,0.32476,0.442952,0.32476,0.692952,0.32476,0.0679516,0.541266,0.317952,0.541266,0.567952,0.541266,0.192952,0.757772,0.442952,0.757772,0.692952,0.757772
0.573,0.0679691,0.108253,0.317969,0.108253,0.567969,0.108253,0.192969,0.32476,0.442969,0.32476,0.692969,0.32476,0.0679691,0.541266,0.317969,0.541266,0.567969,0.541266,0.192969,0.757772,0.442969,0.757772,0.692969,0.757772
0.574,0.0679864,0.108253,0.317986,0.108253,0.567987,0.108253,0.192986,0.324759,0.442987,0.324759,0.692987,0.324759,0.0679864,0.541266,0.317986,0.541266,0.567987,0.541266,0.192986,0.757772,0.442987,0.757772,0.692987,0.757772
0.575,0.0680039,0.108253,0.318004,0.108253,0.568004,0.108253,0.193004,0.324759,0.443004,0.324759,0.693004,0.324759,0.0680039,0.541266,0.318004,0.541266,0.568004,0.541266,0.193004,0.757772,0.443004,0.757772,0.693004,0.757772
0.576,0.0680215,0.108253,0.318022,0.108253,0.568021,0.108253,0.193022,0.32476,0.443021,0.32476,0.693021,0.32476,0.0680215,0.541266,0.318022,0.541266,0.568021,0.541266,0.193022,0.757772,0.443021,0.757772,0.693021,0.757772
0.577,0.068039,0.108253,0.318039,0.108253,0.568039,0.108253,0.193039,0.32476,0.443039,0.32476,0.693039,0.32476,0.068039,0.541266,0.318039,0.541266,0.568039,0.541266,0.193039,0.757772,0.443039,0.757772,0.693039,0.757772
0.578,0.0680565,0.108253,0.318056,0.108253,0.568057,0.108253,0.193056,0.324759,0.443057,0.324759,0.693057,0.324759,0.0680565,0.541266,0.318056,0.541266,0.568057,0.541266,0.193056,0.757772,0.443057,0.757772,0.693057,0.757772
0.579,0.0680741,0.108253,0.318074,0.108253,0.568074,0.108253,0.193074,0.324759,0.443074,0.324759,0.693074,0.324759,0.068074,0.541266,0.318074,0.541266,0.568074,0.541266,0.193074,0.757772,0.443074,0.757772,0.693074,0.757772
0.58,0.0680918,0.108253,0.318092,0.108253,0.568092,0.108253,0.193092,0.32476,0.443092,0.32476,0.693092,0.32476,0.0680918,0.541266,0.318092,0.541266,0.568092,0.541266,0.193092,0.757772,0.443092,0.757772,0.693092,0.757772
0.581,0.0681094,0.108253,0.318109,0.108253,0.568109,0.108253,0.193109,0.32476,0.443109,0.32476,0.693109,0.32476,0.0681094,0.541266,0.318109,0.541266,0.568109,0.541266,0.193109,0.757772,0.443109,0.757772,0.693109,0.757772
0.582,0.0681269,0.108253,0.318127,0.108253,0.568127,0.108253,0.193127,0.324759,0.443127,0.324759,0.693127,0.324759,0.0681269,0.541266,0.318127,0.541266,0.568127,0.541266,0.193127,0.757772,0.443127,0.757772,0.693127,0.757772
0.583,0.0681446,0.108253,0.318145,0.108253,0.568145,0.108253,0.193145,0.324759,0.443145,0.324759,0.693145,0.324759,0.0681446,0.541266,0.318145,0.541266,0.568145,0.541266,0.193145,0.757772,0.443145,0.757772,0.693145,0.757772
0.584,0.0681624,0.108253,0.318162,0.108253,0.568162,0.108253,0.193162,0.32476,0.443162,0.32476,0.693162,0.32476,0.0681624,0.541266,0.318162,0.541266,0.568162,0.541266,0.193162,0.757772,0.443162,0.757772,0.693162,0.757772
0.585,0.0681801,0.108253,0.31818,0.108253,0.56818,0.108253,0.19318,0.32476,0.44318,0.32476,0.69318,0.32476,0.0681801,0.541266,0.31818,0.541266,0.56818,0.541266,0.19318,0.757772,0.44318,0.757772,0.69318,0.757772
0.586,0.0681977,0.108253,0.318198,0.108253,0.568198,0.108253,0.193198,0.324759,0.443198,0.324759,0.693198,0.324759,0.0681977,0.541266,0.318198,0.541266,0.568198,0.541266,0.193198,0.757772,0.443198,0.757772,0.693198,0.757772
0.587,0.0682154,0.108253,0.318215,0.108253,0.568216,0.108253,0.193215,0.324759,0.443216,0.324759,0.693216,0.324759,0.0682154,0.541266,0.318215,0.541266,0.568216,0.541266,0.193215,0.757772,0.443216,0.757772,0.693216,0.757772
0.588,0.0682333,0.108253,0.318233,0.108253,0.568233,0.108253,0.193233,0.32476,0.443233,0.32476,0.693233,0.32476,0.0682333,0.541266,0.318233,0.541266,0.568233,0.541266,0.193233,0.757772,0.443233,0.757772,0.693233,0.757772
0.589,0.0682511,0.108253,0.318251,0.108253,0.568251,0.108253,0.193251,0.32476,0.443251,0.32476,0.693251,0.32476,0.0682511,0.541266,0.318251,0.541266,0.568251,0.541266,0.193251,0.757772,0.443251,0.757772,0.693251,0.757772
