time,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6
0.057,0.0625876,0.108344,0.312517,0.108343,0.56258,0.108342,0.187582,0.324851,0.437561,0.32485,0.687599,0.324851
0.058,0.0625907,0.108347,0.312518,0.108346,0.562583,0.108346,0.187585,0.324854,0.437563,0.324853,0.687603,0.324854
0.059,0.0625938,0.10835,0.312519,0.108349,0.562586,0.108349,0.187588,0.324857,0.437566,0.324856,0.687606,0.324858
0.06,0.062597,0.108354,0.312519,0.108353,0.562589,0.108352,0.187591,0.32486,0.437568,0.324859,0.68761,0.324861
0.061,0.0626002,0.108357,0.31252,0.108356,0.562592,0.108356,0.187594,0.324863,0.43757,0.324862,0.687613,0.324864
0.062,0.0626035,0.10836,0.312521,0.10836,0.562595,0.108359,0.187597,0.324866,0.437573,0.324866,0.687617,0.324868
0.063,0.0626068,0.108363,0.312521,0.108363,0.562598,0.108363,0.1876,0.32487,0.437575,0.324869,0.687621,0.324871
0.064,0.0626102,0.108366,0.312522,0.108366,0.562602,0.108367,0.187603,0.324873,0.437577,0.324873,0.687625,0.324874
0.065,0.0626136,0.10837,0.312523,0.108369,0.562605,0.10837,0.187606,0.324876,0.43758,0.324877,0.687629,0.324878
0.066,0.0626171,0.108373,0.312523,0.108373,0.562609,0.108374,0.187609,0.32488,0.437582,0.324881,0.687632,0.324881
0.067,0.0626206,0.108377,0.312524,0.108376,0.562613,0.108378,0.187612,0.324883,0.437585,0.324884,0.687636,0.324884
0.068,0.0626242,0.108381,0.312525,0.10838,0.562616,0.108382,0.187615,0.324887,0.437587,0.324888,0.68764,0.324888
0.069,0.0626278,0.108385,0.312525,0.108383,0.56262,0.108385,0.187618,0.324891,0.43759,0.324892,0.687645,0.324891
0.07,0.0626315,0.108388,0.312526,0.108387,0.562623,0.108388,0.187621,0.324895,0.437593,0.324896,0.687649,0.324895
0.071,0.0626353,0.108392,0.312527,0.108391,0.562627,0.108392,0.187625,0.324899,0.437595,0.3249,0.687653,0.324899
0.072,0.062639,0.108396,0.312528,0.108394,0.562631,0.108395,0.187628,0.324903,0.437598,0.324904,0.687657,0.324903
0.073,0.0626429,0.1084,0.312528,0.108398,0.562634,0.108399,0.187632,0.324907,0.437601,0.324908,0.687662,0.324907
0.074,0.0626468,0.108404,0.312529,0.108402,0.562638,0.108403,0.187636,0.324911,0.437604,0.324912,0.687666,0.32491
0.075,0.0626507,0.108408,0.31253,0.108406,0.562641,0.108406,0.18764,0.324915,0.437607,0.324916,0.68767,0.324914
0.076,0.0626547,0.108412,0.312531,0.10841,0.562645,0.10841,0.187644,0.32492,0.437609,0.324919,0.687675,0.324919
0.077,0.0626587,0.108417,0.312531,0.108415,0.562648,0.108414,0.187648,0.324924,0.437612,0.324923,0.68768,0.324923
0.078,0.0626628,0.108421,0.312532,0.108419,0.562652,0.108418,0.187652,0.324928,0.437615,0.324927,0.687684,0.324927
0.079,0.062667,0.108425,0.312533,0.108423,0.562655,0.108423,0.187656,0.324932,0.437618,0.324931,0.687689,0.324932
0.08,0.0626712,0.108429,0.312534,0.108428,0.562659,0.108427,0.18766,0.324936,0.437621,0.324935,0.687694,0.324936
0.081,0.0626754,0.108433,0.312535,0.108432,0.562663,0.108431,0.187664,0.324941,0.437624,0.324939,0.687698,0.324941
0.082,0.0626797,0.108438,0.312536,0.108437,0.562667,0.108436,0.187668,0.324945,0.437627,0.324943,0.687703,0.324945
0.083,0.062684,0.108442,0.312537,0.108441,0.562671,0.10844,0.187673,0.324949,0.437631,0.324947,0.687708,0.324949
0.084,0.0626884,0.108447,0.312537,0.108446,0.562675,0.108445,0.187677,0.324953,0.437634,0.324951,0.687713,0.324954
0.085,0.0626929,0.108451,0.312538,0.10845,0.562679,0.10845,0.187681,0.324958,0.437637,0.324956,0.687718,0.324958
0.086,0.0626974,0.108456,0.312539,0.108455,0.562683,0.108454,0.187685,0.324962,0.43764,0.324961,0.687723,0.324963
0.087,0.0627019,0.10846,0.31254,0.108459,0.562688,0.108459,0.187689,0.324966,0.437644,0.324966,0.687728,0.324967
0.088,0.0627065,0.108465,0.312541,0.108463,0.562692,0.108464,0.187693,0.324971,0.437647,0.324971,0.687733,0.324972
0.089,0.0627111,0.108469,0.312542,0.108468,0.562697,0.108469,0.187697,0.324975,0.43765,0.324976,0.687739,0.324976
0.09,0.0627158,0.108474,0.312543,0.108473,0.562701,0.108474,0.187701,0.32498,0.437654,0.324982,0.687744,0.324981
0.091,0.0627206,0.108479,0.312544,0.108477,0.562706,0.108479,0.187706,0.324985,0.437657,0.324987,0.687749,0.324985
0.092,0.0627254,0.108483,0.312545,0.108482,0.562711,0.108484,0.18771,0.32499,0.437661,0.324992,0.687755,0.32499
0.093,0.0627302,0.108488,0.312546,0.108487,0.562716,0.108489,0.187714,0.324995,0.437664,0.324997,0.68776,0.324995
0.094,0.0627351,0.108493,0.312547,0.108492,0.56272,0.108494,0.187719,0.325,0.437668,0.325002,0.687766,0.324999
0.095,0.0627401,0.108498,0.312548,0.108497,0.562725,0.108498,0.187723,0.325006,0.437671,0.325007,0.687771,0.325005
0.096,0.062745,0.108503,0.312549,0.108502,0.562729,0.108503,0.187728,0.325011,0.437675,0.325012,0.687777,0.32501
0.097,0.0627501,0.108508,0.31255,0.108507,0.562734,0.108508,0.187733,0.325016,0.437678,0.325017,0.687783,0.325015
0.098,0.0627552,0.108514,0.312551,0.108512,0.562739,0.108513,0.187738,0.325021,0.437682,0.325022,0.687788,0.32502
0.099,0.0627603,0.108519,0.312552,0.108517,0.562743,0.108518,0.187743,0.325026,0.437686,0.325027,0.687794,0.325026
0.1,0.0627655,0.108525,0.312553,0.108523,0.562748,0.108523,0.187748,0.325032,0.43769,0.325032,0.6878,0.325031
0.101,0.0627707,0.10853,0.312554,0.108528,0.562753,0.108528,0.187753,0.325037,0.437693,0.325037,0.687806,0.325036
0.102,0.062776,0.108536,0.312555,0.108534,0.562757,0.108534,0.187758,0.325042,0.437697,0.325042,0.687812,0.325042
0.103,0.0627814,0.108541,0.312556,0.108539,0.562762,0.108539,0.187763,0.325047,0.437701,0.325047,0.687818,0.325047
0.104,0.0627867,0.108547,0.312557,0.108545,0.562767,0.108544,0.187768,0.325053,0.437705,0.325052,0.687824,0.325053
