x,y
0,0
time,x,y
0.092,0.00972103,0
0.093,0.00982728,0
0.094,0.00993354,0
0.095,0.0100398,0
0.096,0.0101461,0
0.097,0.0102523,0
0.098,0.0103586,0
0.099,0.0104648,0
0.1,0.0105711,0
0.101,0.0106773,0
0.102,0.0107836,0
0.103,0.0108899,0
0.104,0.0109961,0
0.105,0.0111024,0
0.106,0.0112086,0
0.107,0.0113149,0
0.108,0.0114212,0
0.109,0.0115274,0
0.11,0.0116337,0
0.111,0.01174,0
0.112,0.0118462,0
0.113,0.0119525,0
0.114,0.0120588,0
0.115,0.012165,0
0.116,0.0122713,0
0.117,0.0123776,0
0.118,0.0124838,0
0.119,0.0125901,0
0.12,0.0126964,0
0.121,0.0128026,0
0.122,0.0129089,0
0.123,0.0130152,0
0.124,0.0131215,0
0.125,0.0132277,0
0.126,0.013334,0
0.127,0.0134403,0
0.128,0.0135466,0
0.129,0.0136528,0
0.13,0.0137591,0
0.131,0.0138654,0
0.132,0.0139717,0
0.133,0.0140779,0
0.134,0.0141842,0
0.135,0.0142905,0
0.136,0.0143968,0
0.137,0.0145031,0
0.138,0.0146093,0
0.139,0.0147156,0
0.14,0.0148219,0
0.141,0.0149282,0
0.142,0.0150345,0
0.143,0.0151408,0
0.144,0.015247,0
0.145,0.0153533,0
0.146,0.0154596,0
0.147,0.0155659,0
0.148,0.0156722,0
0.149,0.0157785,0
0.15,0.0158848,0
0.151,0.0159911,0
0.152,0.0160974,0
0.153,0.0162037,0
0.154,0.0163099,0
0.155,0.0164162,0
0.156,0.0165225,0
0.157,0.0166288,0
0.158,0.0167351,0
0.159,0.0168414,0
0.16,0.0169477,0
0.161,0.017054,0
0.162,0.0171603,0
0.163,0.0172666,0
0.164,0.0173729,0
0.165,0.0174792,0
0.166,0.0175855,0
0.167,0.0176918,0
0.168,0.0177981,0
0.169,0.0179044,0
0.17,0.0180108,0
0.171,0.0181171,0
0.172,0.0182234,0
0.173,0.0183297,0
0.174,0.018436,0
0.175,0.0185423,0
0.176,0.0186486,0
0.177,0.0187549,0
0.178,0.0188612,0
0.179,0.0189676,0
0.18,0.0190739,0
0.181,0.0191802,0
0.182,0.0192865,0
0.183,0.0193928,0
0.184,0.0194991,0
0.185,0.0196055,0
0.186,0.0197118,0
0.187,0.0198181,0
0.188,0.0199244,0
0.189,0.0200308,0
0.19,0.0201371,0
0.191,0.0202434,0
0.192,0.0203497,0
0.193,0.0204561,0
0.194,0.0205624,0
0.195,0.0206687,0
0.196,0.020775,0
0.197,0.0208814,0
0.198,0.0209877,0
0.199,0.021094,0
