x,y
0.01,0.108253
0.523,0.0290662,0.0360842
0.524,0.0291393,0.0360842
0.525,0.0292125,0.0360842
0.526,0.0292859,0.0360842
0.527,0.0293594,0.0360842
0.528,0.029433,0.0360842
0.529,0.0295068,0.0360842
0.53,0.0295807,0.0360842
0.531,0.0296547,0.0360842
0.532,0.0297289,0.0360842
0.533,0.0298032,0.0360842
0.534,0.0298777,0.0360842
0.535,0.0299523,0.0360842
0.536,0.030027,0.0360842
0.537,0.0301019,0.0360842
0.538,0.030177,0.0360842
0.539,0.0302521,0.0360842
0.54,0.0303274,0.0360842
0.541,0.0304029,0.0360842
0.542,0.0304785,0.0360842
0.543,0.0305542,0.0360842
0.544,0.03063,0.0360842
0.545,0.0307061,0.0360842
0.546,0.0307822,0.0360842
0.547,0.0308585,0.0360842
0.548,0.0309349,0.0360842
0.549,0.0310115,0.0360842
0.55,0.0310882,0.0360842
0.551,0.031165,0.0360842
0.552,0.031242,0.0360842
0.553,0.0313191,0.0360842
0.554,0.0313964,0.0360842
0.555,0.0314738,0.0360842
0.556,0.0315513,0.0360842
0.557,0.031629,0.0360842
0.558,0.0317068,0.0360842
0.559,0.0317848,0.0360842
0.56,0.0318629,0.0360842
0.561,0.0319411,0.0360842
0.562,0.0320195,0.0360842
0.563,0.0320981,0.0360842
0.564,0.0321767,0.0360842
0.565,0.0322555,0.0360842
0.566,0.0323345,0.0360842
0.567,0.0324135,0.0360842
0.568,0.0324928,0.0360842
0.569,0.0325721,0.0360842
0.57,0.0326516,0.0360842
0.571,0.0327313,0.0360842
0.572,0.032811,0.0360842
0.573,0.032891,0.0360842
0.574,0.032971,0.0360842
0.575,0.0330512,0.0360842
0.576,0.0331316,0.0360842
0.577,0.033212,0.0360842
0.578,0.0332927,0.0360842
0.579,0.0333734,0.0360842
0.58,0.0334543,0.0360842
0.581,0.0335354,0.0360842
0.582,0.0336165,0.0360842
0.583,0.0336979,0.0360842
0.584,0.0337793,0.0360842
0.585,0.0338609,0.0360842
0.586,0.0339427,0.0360842
0.587,0.0340245,0.0360842
0.588,0.0341066,0.0360842
0.589,0.0341887,0.0360842
0.59,0.034271,0.0360842
0.591,0.0343535,0.0360842
0.592,0.034436,0.0360842
0.593,0.0345188,0.0360842
0.594,0.0346016,0.0360842
0.595,0.0346846,0.0360842
0.596,0.0347677,0.0360842
0.597,0.034851,0.0360842
0.598,0.0349344,0.0360842
0.599,0.035018,0.0360842
0.6,0.0351017,0.0360842
0.601,0.0351855,0.0360842
0.602,0.0352695,0.0360842
0.603,0.0353536,0.0360842
0.604,0.0354379,0.0360842
0.605,0.0355223,0.0360842
0.606,0.0356068,0.0360842
0.607,0.0356915,0.0360842
0.608,0.0357763,0.0360842
0.609,0.0358613,0.0360842
0.61,0.0359464,0.0360842
0.611,0.0360316,0.0360842
0.612,0.036117,0.0360842
0.613,0.0362025,0.0360842
0.614,0.0362881,0.0360842
0.615,0.0363739,0.0360842
0.616,0.0364599,0.0360842
0.617,0.0365459,0.0360842
0.618,0.0366322,0.0360842
0.619,0.0367185,0.0360842
0.62,0.036805,0.0360842
0.621,0.0368916,0.0360842
0.622,0.0369784,0.0360842
0.623,0.0370653,0.0360842
0.624,0.0371524,0.0360842
0.625,0.0372396,0.0360842
0.626,0.0373269,0.0360842
0.627,0.0374144,0.0360842
0.628,0.037502,0.0360842
0.629,0.0375898,0.0360842
0.63,0.0376777,0.0360842
0.631,0.0377657,0.0360842
0.632,0.0378539,0.0360842
0.633,0.0379422,0.0360842
0.634,0.0380306,0.0360842
0.635,0.0381192,0.0360842
0.636,0.038208,0.0360842
0.637,0.0382968,0.0360842
0.638,0.0383858,0.0360842
0.639,0.038475,0.0360842
0.64,0.0385643,0.0360842
0.641,0.0386537,0.0360842
0.642,0.0387433,0.0360842
0.643,0.038833,0.0360842
0.644,0.0389229,0.0360842
0.645,0.0390129,0.0360842
0.646,0.039103,0.0360842
0.647,0.0391933,0.0360842
0.648,0.0392837,0.0360842
0.649,0.0393742,0.0360842
0.65,0.0394649,0.0360842
0.651,0.0395557,0.0360842
0.652,0.0396467,0.0360842
0.653,0.0397378,0.0360842
0.654,0.0398291,0.0360842
0.655,0.0399205,0.0360842
0.656,0.040012,0.0360842
0.657,0.0401037,0.0360842
0.658,0.0401955,0.0360842
0.659,0.0402874,0.0360842
0.66,0.0403795,0.0360842
0.661,0.0404718,0.0360842
0.662,0.0405641,0.0360842
0.663,0.0406566,0.0360842
0.664,0.0407493,0.0360842
0.665,0.0408421,0.0360842
0.666,0.040935,0.0360842
0.667,0.0410281,0.0360842
0.668,0.0411213,0.0360842
0.669,0.0412146,0.0360842
0.67,0.0413081,0.0360842
0.671,0.0414018,0.0360842
0.672,0.0414955,0.0360842
0.673,0.0415894,0.0360842
0.674,0.0416835,0.0360842
0.675,0.0417777,0.0360842
0.676,0.041872,0.0360842
0.677,0.0419665,0.0360842
0.678,0.0420611,0.0360842
0.679,0.0421558,0.0360842
0.68,0.0422507,0.0360842
0.681,0.0423458,0.0360842
0.682,0.0424409,0.0360842
0.683,0.0425362,0.0360842
0.684,0.0426317,0.0360842
0.685,0.0427273,0.0360842
0.686,0.042823,0.0360842
0.687,0.0429189,0.0360842
0.688,0.0430149,0.0360842
0.689,0.043111,0.0360842
0.69,0.0432073,0.0360842
0.691,0.0433037,0.0360842
0.692,0.0434003,0.0360842
0.693,0.043497,0.0360842
0.694,0.0435939,0.0360842
0.695,0.0436909,0.0360842
0.696,0.043788,0.0360842
0.697,0.0438853,0.0360842
0.698,0.0439827,0.0360842
0.699,0.0440802,0.0360842
0.7,0.0441779,0.0360842
0.701,0.0442757,0.0360842
0.702,0.0443737,0.0360842
0.703,0.0444718,0.0360842
0.704,0.04457,0.0360842
0.705,0.0446684,0.0360842
0.706,0.044767,0.0360842
0.707,0.0448656,0.0360842
0.708,0.0449644,0.0360842
0.709,0.0450634,0.0360842
0.71,0.0451625,0.0360842
0.711,0.0452617,0.0360842
0.712,0.0453611,0.0360842
0.713,0.0454606,0.0360842
0.714,0.0455602,0.0360842
0.715,0.04566,0.0360842
0.716,0.0457599,0.0360842
0.717,0.04586,0.0360842
0.718,0.0459602,0.0360842
0.719,0.0460606,0.0360842
0.72,0.046161,0.0360842
0.721,0.0462617,0.0360842
0.722,0.0463624,0.0360842
0.723,0.0464633,0.0360842
0.724,0.0465644,0.0360842
0.725,0.0466656,0.0360842
0.726,0.0467669,0.0360842
0.727,0.0468684,0.0360842
0.728,0.04697,0.0360842
0.729,0.0470717,0.0360842
0.73,0.0471736,0.0360842
0.731,0.0472756,0.0360842
0.732,0.0473778,0.0360842
0.733,0.0474801,0.0360842
0.734,0.0475825,0.0360842
0.735,0.0476851,0.0360842
0.736,0.0477879,0.0360842
0.737,0.0478907,0.0360842
0.738,0.0479937,0.0360842
0.739,0.0480969,0.0360842
0.74,0.0482002,0.0360842
0.741,0.0483036,0.0360842
0.742,0.0484071,0.0360842
