x,y
0,0
0,0
time,x,y,x,y
0.477,-7.41727,0,7.41727,0
0.478,-7.41128,0,7.41128,0
0.479,-7.40528,0,7.40528,0
0.48,-7.39927,0,7.39927,0
0.481,-7.39326,0,7.39326,0
0.482,-7.38724,0,7.38724,0
0.483,-7.38122,0,7.38122,0
0.484,-7.37519,0,7.37519,0
0.485,-7.36915,0,7.36915,0
0.486,-7.36311,0,7.36311,0
0.487,-7.35706,0,7.35706,0
0.488,-7.35101,0,7.35101,0
0.489,-7.34495,0,7.34495,0
0.49,-7.33888,0,7.33888,0
0.491,-7.33281,0,7.33281,0
0.492,-7.32673,0,7.32673,0
0.493,-7.32065,0,7.32065,0
0.494,-7.31456,0,7.31456,0
0.495,-7.30846,0,7.30846,0
0.496,-7.30236,0,7.30236,0
0.497,-7.29626,0,7.29626,0
0.498,-7.29015,0,7.29015,0
0.499,-7.28403,0,7.28403,0
0.5,-7.27791,0,7.27791,0
0.501,-7.27178,0,7.27178,0
0.502,-7.26565,0,7.26565,0
0.503,-7.25951,0,7.25951,0
0.504,-7.25337,0,7.25337,0
0.505,-7.24722,0,7.24722,0
0.506,-7.24107,0,7.24107,0
0.507,-7.23491,0,7.23491,0
0.508,-7.22874,0,7.22874,0
0.509,-7.22257,0,7.22257,0
0.51,-7.2164,0,7.2164,0
0.511,-7.21022,0,7.21022,0
0.512,-7.20403,0,7.20403,0
0.513,-7.19784,0,7.19784,0
0.514,-7.19165,0,7.19165,0
0.515,-7.18545,0,7.18545,0
0.516,-7.17924,0,7.17924,0
0.517,-7.17303,0,7.17303,0
0.518,-7.16682,0,7.16682,0
0.519,-7.1606,0,7.1606,0
0.52,-7.15437,0,7.15437,0
0.521,-7.14814,0,7.14814,0
0.522,-7.14191,0,7.14191,0
0.523,-7.13567,0,7.13567,0
0.524,-7.12942,0,7.12942,0
0.525,-7.12318,0,7.12318,0
0.526,-7.11692,0,7.11692,0
0.527,-7.11066,0,7.11066,0
0.528,-7.1044,0,7.1044,0
0.529,-7.09814,0,7.09814,0
0.53,-7.09186,0,7.09186,0
0.531,-7.08559,0,7.08559,0
0.532,-7.07931,0,7.07931,0
0.533,-7.07302,0,7.07302,0
0.534,-7.06673,0,7.06673,0
0.535,-7.06044,0,7.06044,0
0.536,-7.05414,0,7.05414,0
0.537,-7.04784,0,7.04784,0
0.538,-7.04153,0,7.04153,0
0.539,-7.03522,0,7.03522,0
0.54,-7.0289,0,7.0289,0
0.541,-7.02259,0,7.02259,0
0.542,-7.01626,0,7.01626,0
0.543,-7.00993,0,7.00993,0
0.544,-7.0036,0,7.0036,0
0.545,-6.99727,0,6.99727,0
0.546,-6.99093,0,6.99093,0
0.547,-6.98458,0,6.98458,0
0.548,-6.97823,0,6.97823,0
0.549,-6.97188,0,6.97188,0
0.55,-6.96553,0,6.96553,0
0.551,-6.95917,0,6.95917,0
0.552,-6.9528,0,6.9528,0
0.553,-6.94644,0,6.94644,0
0.554,-6.94006,0,6.94006,0
0.555,-6.93369,0,6.93369,0
0.556,-6.92731,0,6.92731,0
0.557,-6.92093,0,6.92093,0
0.558,-6.91454,0,6.91454,0
0.559,-6.90815,0,6.90815,0
0.56,-6.90176,0,6.90176,0
0.561,-6.89536,0,6.89536,0
0.562,-6.88896,0,6.88896,0
0.563,-6.88256,0,6.88256,0
0.564,-6.87615,0,6.87615,0
0.565,6.87605,0,-6.87605,0
0.566,6.88246,0,-6.88246,0
0.567,6.88886,0,-6.88886,0
0.568,6.89526,0,-6.89526,0
0.569,6.90166,0,-6.90166,0
0.57,6.90805,0,-6.90805,0
0.571,6.91444,0,-6.91444,0
0.572,6.92083,0,-6.92083,0
0.573,6.92721,0,-6.92721,0
0.574,6.93359,0,-6.93359,0
0.575,6.93997,0,-6.93997,0
0.576,6.94634,0,-6.94634,0
0.577,6.95271,0,-6.95271,0
0.578,6.95907,0,-6.95907,0
0.579,6.96543,0,-6.96543,0
0.58,6.97178,0,-6.97178,0
0.581,6.97814,0,-6.97814,0
0.582,6.98448,0,-6.98448,0
0.583,6.99083,0,-6.99083,0
0.584,6.99717,0,-6.99717,0
0.585,7.0035,0,-7.0035,0
0.586,7.00984,0,-7.00984,0
0.587,7.01616,0,-7.01616,0
0.588,7.02249,0,-7.02249,0
0.589,7.02881,0,-7.02881,0
0.59,7.03512,0,-7.03512,0
0.591,7.04143,0,-7.04143,0
0.592,7.04774,0,-7.04774,0
0.593,7.05404,0,-7.05404,0
0.594,7.06034,0,-7.06034,0
0.595,7.06663,0,-7.06663,0
0.596,7.07292,0,-7.07292,0
0.597,7.07921,0,-7.07921,0
0.598,7.08549,0,-7.08549,0
0.599,7.09176,0,-7.09176,0
0.6,7.09804,0,-7.09804,0
0.601,7.1043,0,-7.1043,0
0.602,7.11057,0,-7.11057,0
0.603,7.11682,0,-7.11682,0
0.604,7.12308,0,-7.12308,0
0.605,7.12932,0,-7.12932,0
0.606,7.13557,0,-7.13557,0
0.607,7.14181,0,-7.14181,0
0.608,7.14804,0,-7.14804,0
0.609,7.15427,0,-7.15427,0
0.61,7.1605,0,-7.1605,0
0.611,7.16672,0,-7.16672,0
0.612,7.17293,0,-7.17293,0
0.613,7.17914,0,-7.17914,0
0.614,7.18535,0,-7.18535,0
0.615,7.19155,0,-7.19155,0
0.616,7.19774,0,-7.19774,0
0.617,7.20393,0,-7.20393,0
0.618,7.21012,0,-7.21012,0
0.619,7.2163,0,-7.2163,0
0.62,7.22247,0,-7.22247,0
0.621,7.22864,0,-7.22864,0
0.622,7.23481,0,-7.23481,0
0.623,7.24096,0,-7.24096,0
0.624,7.24712,0,-7.24712,0
0.625,7.25327,0,-7.25327,0
0.626,7.25941,0,-7.25941,0
0.627,7.26555,0,-7.26555,0
0.628,7.27168,0,-7.27168,0
0.629,7.27781,0,-7.27781,0
0.63,7.28393,0,-7.28393,0
0.631,7.29005,0,-7.29005,0
0.632,7.29616,0,-7.29616,0
