time,x,y,x,y
0.343,0.744608,0,0.105392,0
0.344,0.744576,0,0.105424,0
0.345,0.744544,0,0.105456,0
0.346,0.744512,0,0.105488,0
0.347,0.744479,0,0.105521,0
0.348,0.744447,0,0.105553,0
0.349,0.744415,0,0.105585,0
0.35,0.744382,0,0.105618,0
0.351,0.744349,0,0.105651,0
0.352,0.744316,0,0.105684,0
0.353,0.744283,0,0.105717,0
0.354,0.74425,0,0.10575,0
0.355,0.744217,0,0.105783,0
0.356,0.744184,0,0.105816,0
0.357,0.744151,0,0.105849,0
0.358,0.744117,0,0.105883,0
0.359,0.744084,0,0.105916,0
0.36,0.74405,0,0.10595,0
0.361,0.744016,0,0.105984,0
0.362,0.743983,0,0.106017,0
0.363,0.743949,0,0.106051,0
0.364,0.743915,0,0.106085,0
0.365,0.743881,0,0.106119,0
0.366,0.743846,0,0.106154,0
0.367,0.743812,0,0.106188,0
0.368,0.743778,0,0.106222,0
0.369,0.743743,0,0.106257,0
0.37,0.743708,0,0.106292,0
0.371,0.743674,0,0.106326,0
0.372,0.743639,0,0.106361,0
0.373,0.743604,0,0.106396,0
0.374,0.743569,0,0.106431,0
0.375,0.743534,0,0.106466,0
0.376,0.743499,0,0.106501,0
0.377,0.743463,0,0.106537,0
0.378,0.743428,0,0.106572,0
0.379,0.743392,0,0.106608,0
0.38,0.743357,0,0.106643,0
0.381,0.743321,0,0.106679,0
0.382,0.743285,0,0.106715,0
0.383,0.743249,0,0.106751,0
0.384,0.743213,0,0.106787,0
0.385,0.743177,0,0.106823,0
0.386,0.743141,0,0.106859,0
0.387,0.743104,0,0.106896,0
0.388,0.743068,0,0.106932,0
0.389,0.743031,0,0.106969,0
0.39,0.742995,0,0.107005,0
0.391,0.742958,0,0.107042,0
0.392,0.742921,0,0.107079,0
0.393,0.742884,0,0.107116,0
0.394,0.742847,0,0.107153,0
0.395,0.74281,0,0.10719,0
0.396,0.742773,0,0.107227,0
0.397,0.742735,0,0.107265,0
0.398,0.742698,0,0.107302,0
0.399,0.74266,0,0.10734,0
0.4,0.742623,0,0.107377,0
0.401,0.742585,0,0.107415,0
0.402,0.742547,0,0.107453,0
0.403,0.742509,0,0.107491,0
0.404,0.742471,0,0.107529,0
0.405,0.742433,0,0.107567,0
0.406,0.742394,0,0.107606,0
0.407,0.742356,0,0.107644,0
0.408,0.742318,0,0.107682,0
0.409,0.742279,0,0.107721,0
0.41,0.74224,0,0.10776,0
0.411,0.742201,0,0.107799,0
0.412,0.742163,0,0.107837,0
0.413,0.742124,0,0.107876,0
0.414,0.742084,0,0.107916,0
0.415,0.742045,0,0.107955,0
0.416,0.742006,0,0.107994,0
0.417,0.741967,0,0.108033,0
0.418,0.741927,0,0.108073,0
0.419,0.741887,0,0.108113,0
0.42,0.741848,0,0.108152,0
0.421,0.741808,0,0.108192,0
0.422,0.741768,0,0.108232,0
0.423,0.741728,0,0.108272,0
0.424,0.741688,0,0.108312,0
0.425,0.741647,0,0.108353,0
0.426,0.741607,0,0.108393,0
0.427,0.741567,0,0.108433,0
0.428,0.741526,0,0.108474,0
0.429,0.741485,0,0.108515,0
0.43,0.741445,0,0.108555,0
0.431,0.741404,0,0.108596,0
0.432,0.741363,0,0.108637,0
0.433,0.741322,0,0.108678,0
0.434,0.741281,0,0.108719,0
0.435,0.741239,0,0.108761,0
0.436,0.741198,0,0.108802,0
0.437,0.741156,0,0.108844,0
0.438,0.741115,0,0.108885,0
0.439,0.741073,0,0.108927,0
0.44,0.741031,0,0.108969,0
0.441,0.740989,0,0.109011,0
0.442,0.740947,0,0.109053,0
0.443,0.740905,0,0.109095,0
0.444,0.740863,0,0.109137,0
0.445,0.740821,0,0.109179,0
0.446,0.740778,0,0.109222,0
0.447,0.740736,0,0.109264,0
0.448,0.740693,0,0.109307,0
0.449,0.74065,0,0.10935,0
0.45,0.740607,0,0.109393,0
0.451,0.740564,0,0.109436,0
0.452,0.740521,0,0.109479,0
0.453,0.740478,0,0.109522,0
0.454,0.740435,0,0.109565,0
0.455,0.740392,0,0.109608,0
0.456,0.740348,0,0.109652,0
0.457,0.740304,0,0.109696,0
0.458,0.740261,0,0.109739,0
0.459,0.740217,0,0.109783,0
0.46,0.740173,0,0.109827,0
0.461,0.740129,0,0.109871,0
0.462,0.740085,0,0.109915,0
0.463,0.740041,0,0.109959,0
0.464,0.739996,0,0.110004,0
0.465,0.739952,0,0.110048,0
0.466,0.739907,0,0.110093,0
0.467,0.739863,0,0.110137,0
0.468,0.739818,0,0.110182,0
0.469,0.739773,0,0.110227,0
0.47,0.739728,0,0.110272,0
0.471,0.739683,0,0.110317,0
0.472,0.739638,0,0.110362,0
0.473,0.739592,0,0.110408,0
0.474,0.739547,0,0.110453,0
0.475,0.739501,0,0.110499,0
0.476,0.739456,0,0.110544,0
0.477,0.73941,0,0.11059,0
0.478,0.739364,0,0.110636,0
0.479,0.739318,0,0.110682,0
0.48,0.739272,0,0.110728,0
0.481,0.739226,0,0.110774,0
0.482,0.73918,0,0.11082,0
0.483,0.739133,0,0.110867,0
0.484,0.739087,0,0.110913,0
0.485,0.73904,0,0.11096,0
0.486,0.738994,0,0.111006,0
0.487,0.738947,0,0.111053,0
0.488,0.7389,0,0.1111,0
0.489,0.738853,0,0.111147,0
0.49,0.738806,0,0.111194,0
0.491,0.738759,0,0.111241,0
0.492,0.738711,0,0.111289,0
0.493,0.738664,0,0.111336,0
0.494,0.738616,0,0.111384,0
0.495,0.738568,0,0.111432,0
0.496,0.738521,0,0.111479,0
0.497,0.738473,0,0.111527,0
0.498,0.738425,0,0.111575,0
0.499,0.738377,0,0.111623,0
0.5,0.738328,0,0.111672,0
0.501,0.73828,0,0.11172,0
0.502,0.738232,0,0.111768,0
0.503,0.738183,0,0.111817,0
0.504,0.738135,0,0.111865,0
0.505,0.738086,0,0.111914,0
0.506,0.738037,0,0.111963,0
0.507,0.737988,0,0.112012,0
0.508,0.737939,0,0.112061,0
0.509,0.73789,0,0.11211,0
0.51,0.73784,0,0.11216,0
0.511,0.737791,0,0.112209,0
0.512,0.737741,0,0.112259,0
0.513,0.737692,0,0.112308,0
0.514,0.737642,0,0.112358,0
0.515,0.737592,0,0.112408,0
0.516,0.737542,0,0.112458,0
0.517,0.737492,0,0.112508,0
0.518,0.737442,0,0.112558,0
0.519,0.737391,0,0.112609,0
0.52,0.737341,0,0.112659,0
0.521,0.737291,0,0.112709,0
0.522,0.73724,0,0.11276,0
0.523,0.737189,0,0.112811,0
