time,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6
0.069,0.06627,-8.99992e-06,0.06627,-9.00363e-06,0.06627,-9.00424e-06,0.06627,8.99976e-06,0.06627,9.00364e-06,0.06627,9.00424e-06
0.07,0.0672042,-8.99987e-06,0.0672042,-9.00363e-06,0.0672042,-9.00425e-06,0.0672042,8.9997e-06,0.0672042,9.00364e-06,0.0672042,9.00425e-06
0.071,0.0681375,9.02569e-06,0.0681375,9.02187e-06,0.0681375,9.02125e-06,0.0681375,-9.02586e-06,0.0681375,-9.02187e-06,0.0681375,-9.02125e-06
0.072,0.0690698,9.02575e-06,0.0690698,9.02187e-06,0.0690698,9.02124e-06,0.0690698,-9.02591e-06,0.0690698,-9.02187e-06,0.0690698,-9.02124e-06
0.073,0.0700012,-8.9997e-06,0.0700012,-9.00363e-06,0.0700012,-9.00427e-06,0.0700012,8.99954e-06,0.0700012,9.00363e-06,0.0700012,9.00427e-06
0.074,0.0709317,-8.99965e-06,0.0709316,-9.00363e-06,0.0709317,-9.00428e-06,0.0709317,8.99948e-06,0.0709316,9.00363e-06,0.0709317,9.00427e-06
0.075,0.0718612,9.02591e-06,0.0718612,9.02188e-06,0.0718612,9.02122e-06,0.0718612,-9.02608e-06,0.0718612,-9.02187e-06,0.0718612,-9.02122e-06
0.076,0.0727898,9.02596e-06,0.0727898,9.02188e-06,0.0727898,9.02121e-06,0.0727898,-9.02613e-06,0.0727898,-9.02187e-06,0.0727898,-9.02121e-06
0.077,0.0737175,-8.99949e-06,0.0737175,-9.00362e-06,0.0737175,-9.0043e-06,0.0737175,8.99931e-06,0.0737175,9.00363e-06,0.0737175,9.0043e-06
0.078,0.0746442,-8.99944e-06,0.0746442,-9.00362e-06,0.0746442,-9.00431e-06,0.0746442,8.99926e-06,0.0746442,9.00363e-06,0.0746442,9.0043e-06
0.079,0.07557,9.02612e-06,0.07557,9.02188e-06,0.07557,9.02119e-06,0.07557,-9.0263e-06,0.07557,-9.02188e-06,0.07557,-9.02119e-06
0.08,0.0764949,9.02617e-06,0.0764949,9.02188e-06,0.0764949,9.02118e-06,0.0764949,-9.02636e-06,0.0764949,-9.02188e-06,0.0764949,-9.02119e-06
0.081,0.0774189,-8.99928e-06,0.0774189,-9.00362e-06,0.0774189,-9.00433e-06,0.0774189,8.99909e-06,0.0774189,9.00362e-06,0.0774189,9.00433e-06
0.082,0.078342,-8.99922e-06,0.0783419,-9.00362e-06,0.0783419,-9.00434e-06,0.078342,8.99904e-06,0.0783419,9.00362e-06,0.0783419,9.00433e-06
0.083,0.0792641,9.02633e-06,0.079264,9.02189e-06,0.0792641,9.02116e-06,0.0792641,-9.02652e-06,0.079264,-9.02188e-06,0.0792641,-9.02116e-06
0.084,0.0801853,9.02639e-06,0.0801852,9.02189e-06,0.0801853,9.02115e-06,0.0801853,-9.02658e-06,0.0801852,-9.02188e-06,0.0801853,-9.02116e-06
0.085,0.0811055,-8.99907e-06,0.0811055,-9.00361e-06,0.0811055,-9.00436e-06,0.0811055,8.99887e-06,0.0811055,9.00362e-06,0.0811055,9.00435e-06
0.086,0.0820249,-8.99901e-06,0.0820249,-9.00361e-06,0.0820249,-9.00436e-06,0.0820249,8.99882e-06,0.0820249,9.00362e-06,0.0820249,9.00436e-06
0.087,0.0829433,9.02654e-06,0.0829433,9.02189e-06,0.0829433,9.02113e-06,0.0829433,-9.02674e-06,0.0829433,-9.02189e-06,0.0829433,-9.02114e-06
0.088,0.0838608,9.0266e-06,0.0838608,9.02189e-06,0.0838608,9.02113e-06,0.0838608,-9.0268e-06,0.0838608,-9.02189e-06,0.0838608,-9.02113e-06
0.089,0.0847774,-8.99885e-06,0.0847774,-9.00361e-06,0.0847774,-9.00439e-06,0.0847774,8.99865e-06,0.0847774,9.00361e-06,0.0847774,9.00438e-06
0.09,0.0856931,-8.9988e-06,0.0856931,-9.00361e-06,0.0856931,-9.00439e-06,0.0856931,8.9986e-06,0.0856931,9.00361e-06,0.0856931,9.00439e-06
0.091,0.0866079,9.02676e-06,0.0866079,9.0219e-06,0.0866079,9.0211e-06,0.0866079,-9.02696e-06,0.0866079,-9.02189e-06,0.0866079,-9.02111e-06
0.092,0.0875217,9.02681e-06,0.0875217,9.0219e-06,0.0875217,9.0211e-06,0.0875217,-9.02702e-06,0.0875217,-9.02189e-06,0.0875217,-9.0211e-06
0.093,0.0884347,-8.99864e-06,0.0884347,-9.0036e-06,0.0884347,-9.00441e-06,0.0884347,8.99843e-06,0.0884347,9.00361e-06,0.0884347,9.00441e-06
0.094,0.0893467,-8.99859e-06,0.0893467,-9.0036e-06,0.0893467,-9.00442e-06,0.0893467,8.99838e-06,0.0893467,9.00361e-06,0.0893467,9.00442e-06
0.095,0.0902578,9.02697e-06,0.0902578,9.0219e-06,0.0902578,9.02108e-06,0.0902578,-9.02718e-06,0.0902578,-9.0219e-06,0.0902578,-9.02108e-06
0.096,0.091168,9.02702e-06,0.091168,9.0219e-06,0.091168,9.02107e-06,0.091168,-9.02724e-06,0.091168,-9.0219e-06,0.091168,-9.02107e-06
0.097,0.0920773,-8.99843e-06,0.0920773,-9.0036e-06,0.0920773,-9.00444e-06,0.0920773,8.99821e-06,0.0920773,9.0036e-06,0.0920773,9.00444e-06
0.098,0.0929857,-8.99838e-06,0.0929856,-9.0036e-06,0.0929857,-9.00445e-06,0.0929857,8.99816e-06,0.0929856,9.0036e-06,0.0929857,9.00445e-06
0.099,0.0938931,9.02718e-06,0.0938931,9.02191e-06,0.0938931,9.02105e-06,0.0938931,-9.0274e-06,0.0938931,-9.0219e-06,0.0938931,-9.02105e-06
0.1,0.0947997,9.02723e-06,0.0947997,9.02191e-06,0.0947997,9.02104e-06,0.0947997,-9.02745e-06,0.0947997,-9.0219e-06,0.0947997,-9.02104e-06
0.101,0.0957054,-8.99822e-06,0.0957053,-9.00359e-06,0.0957054,-9.00447e-06,0.0957054,8.99799e-06,0.0957053,9.0036e-06,0.0957054,9.00447e-06
0.102,0.0966101,-8.99817e-06,0.0966101,-9.00359e-06,0.0966101,-9.00448e-06,0.0966101,8.99794e-06,0.0966101,9.0036e-06,0.0966101,9.00447e-06
0.103,0.0975139,9.02738e-06,0.0975139,9.02191e-06,0.0975139,9.02102e-06,0.0975139,-9.02762e-06,0.0975139,-9.02191e-06,0.0975139,-9.02102e-06
0.104,0.0984169,9.02744e-06,0.0984169,9.02191e-06,0.0984169,9.02101e-06,0.0984169,-9.02767e-06,0.0984169,-9.02191e-06,0.0984169,-9.02102e-06
0.105,0.0993189,-8.99802e-06,0.0993189,-9.00359e-06,0.0993189,-9.0045e-06,0.0993189,8.99778e-06,0.0993189,9.00359e-06,0.0993189,9.0045e-06
0.106,0.10022,-8.99796e-06,0.10022,-9.00359e-06,0.10022,-9.00451e-06,0.10022,8.99772e-06,0.10022,9.00359e-06,0.10022,9.0045e-06
0.107,0.10112,9.02759e-06,0.10112,9.02192e-06,0.10112,9.02099e-06,0.10112,-9.02783e-06,0.10112,-9.02191e-06,0.10112,-9.02099e-06
0.108,0.10202,9.02764e-06,0.10202,9.02192e-06,0.10202,9.02098e-06,0.10202,-9.02789e-06,0.10202,-9.02191e-06,0.10202,-9.02099e-06
0.109,0.102918,-8.99781e-06,0.102918,-9.00358e-06,0.102918,-9.00453e-06,0.102918,8.99756e-06,0.102918,9.00359e-06,0.102918,9.00452e-06
0.11,0.103816,-8.99776e-06,0.103816,-9.00358e-06,0.103816,-9.00453e-06,0.103816,8.99751e-06,0.103816,9.00359e-06,0.103816,9.00453e-06
0.111,0.104712,9.0278e-06,0.104712,9.02192e-06,0.104712,9.02096e-06,0.104712,-9.02805e-06,0.104712,-9.02192e-06,0.104712,-9.02097e-06
0.112,0.105608,9.02785e-06,0.105608,9.02192e-06,0.105608,9.02096e-06,0.105608,-9.0281e-06,0.105608,-9.02192e-06,0.105608,-9.02096e-06
0.113,0.106503,-8.9976e-06,0.106503,-9.00358e-06,0.106503,-9.00455e-06,0.106503,8.99735e-06,0.106503,9.00359e-06,0.106503,9.00455e-06
0.114,0.107397,-8.99755e-06,0.107397,-9.00358e-06,0.107397,-9.00456e-06,0.107397,8.99729e-06,0.107397,9.00358e-06,0.107397,9.00456e-06
0.115,0.10829,9.02801e-06,0.10829,9.02193e-06,0.10829,9.02094e-06,0.10829,-9.02827e-06,0.10829,-9.02192e-06,0.10829,-9.02094e-06
0.116,0.109182,9.02806e-06,0.109182,9.02193e-06,0.109182,9.02093e-06,0.109182,-9.02832e-06,0.109182,-9.02192e-06,0.109182,-9.02093e-06
0.117,0.110073,-8.99739e-06,0.110073,-9.00358e-06,0.110073,-9.00458e-06,0.110073,8.99713e-06,0.110073,9.00358e-06,0.110073,9.00458e-06
