time,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6
0.072,0.931863,-0.0180255,0.931862,-0.0180255,0.931863,-0.0180255,0.931863,0.0180254,0.931862,0.0180255,0.931863,0.0180255
0.073,0.93093,-0.0180255,0.93093,-0.0180255,0.93093,-0.0180255,0.93093,0.0180254,0.93093,0.0180255,0.93093,0.0180255
0.074,0.929999,0.0180256,0.929999,0.0180255,0.929999,0.0180255,0.929999,-0.0180256,0.929999,-0.0180255,0.929999,-0.0180255
0.075,0.929068,0.0180256,0.929068,0.0180255,0.929068,0.0180255,0.929068,-0.0180256,0.929068,-0.0180255,0.929068,-0.0180255
0.076,0.928139,-0.0180255,0.928139,-0.0180255,0.928139,-0.0180255,0.928139,0.0180254,0.928139,0.0180255,0.928139,0.0180255
0.077,0.92721,-0.0180255,0.92721,-0.0180255,0.92721,-0.0180255,0.92721,0.0180254,0.92721,0.0180255,0.92721,0.0180255
0.078,0.926283,0.0180256,0.926282,0.0180255,0.926283,0.0180255,0.926283,-0.0180256,0.926282,-0.0180255,0.926283,-0.0180255
0.079,0.925356,0.0180256,0.925356,0.0180255,0.925356,0.0180255,0.925356,-0.0180256,0.925356,-0.0180255,0.925356,-0.0180255
0.08,0.92443,-0.0180255,0.92443,-0.0180255,0.92443,-0.0180255,0.92443,0.0180254,0.92443,0.0180255,0.92443,0.0180255
0.081,0.923505,-0.0180255,0.923505,-0.0180255,0.923505,-0.0180255,0.923505,0.0180254,0.923505,0.0180255,0.923505,0.0180255
0.082,0.922581,0.0180256,0.922581,0.0180255,0.922581,0.0180255,0.922581,-0.0180256,0.922581,-0.0180255,0.922581,-0.0180255
0.083,0.921658,0.0180256,0.921658,0.0180255,0.921658,0.0180255,0.921658,-0.0180256,0.921658,-0.0180255,0.921658,-0.0180255
0.084,0.920736,-0.0180255,0.920736,-0.0180255,0.920736,-0.0180255,0.920736,0.0180254,0.920736,0.0180255,0.920736,0.0180255
0.085,0.919815,-0.0180255,0.919814,-0.0180255,0.919815,-0.0180255,0.919815,0.0180254,0.919814,0.0180255,0.919815,0.0180255
0.086,0.918894,0.0180256,0.918894,0.0180255,0.918894,0.0180255,0.918894,-0.0180256,0.918894,-0.0180255,0.918894,-0.0180255
0.087,0.917975,0.0180256,0.917975,0.0180255,0.917975,0.0180255,0.917975,-0.0180256,0.917975,-0.0180255,0.917975,-0.0180255
0.088,0.917057,-0.0180255,0.917056,-0.0180255,0.917057,-0.0180255,0.917057,0.0180254,0.917056,0.0180255,0.917057,0.0180255
0.089,0.916139,-0.0180255,0.916139,-0.0180255,0.916139,-0.0180255,0.916139,0.0180254,0.916139,0.0180255,0.916139,0.0180255
0.09,0.915223,0.0180256,0.915222,0.0180255,0.915223,0.0180255,0.915223,-0.0180256,0.915222,-0.0180255,0.915223,-0.0180255
