lorentzForce,siteDistance,vAve,,
1.7,1.9,0.050012237,,
1.7,2,0.049930752,,
1.72,-0.1,0.049994368,,
1.72,-0.2,0.050002888,,
1.72,-0.3,0.050017003,,
1.72,-0.4,0.050028858,,
1.72,-0.5,0.050037237,,
1.72,-0.6,0.049941565,,
1.72,-0.7,0.050035249,,
1.72,-0.8,0.050006989,,
1.72,-0.9,0.050066665,,
1.72,-1,0.050008759,,
1.72,-1.1,0.050029849,,
1.72,-1.2,0.050022387,,
1.72,-1.3,0.050009297,,
1.72,-1.4,0.049996506,,
1.72,-1.5,0.049924123,,
1.72,-1.6,0.050043111,,
1.72,-1.7,0.050027178,,
1.72,-1.8,0.049961311,,
1.72,-1.9,0.049923431,,
1.72,-2,0.253527,,
1.72,0,0.04998855,,
1.72,0.1,0.049989749,,
1.72,0.2,0.05000372,,
1.72,0.3,0.05002251,,
1.72,0.4,0.049963828,,
1.72,0.5,0.050024,,
1.72,0.6,0.049996424,,
1.72,0.7,0.050004292,,
1.72,0.8,0.049938599,,
1.72,0.9,0.050003119,,
1.72,1,0.050006878,,
1.72,1.1,0.050051478,,
1.72,1.2,0.050026925,,
1.72,1.3,0.050028976,,
1.72,1.4,0.049944268,,
1.72,1.5,0.050031684,,
1.72,1.6,0.050046778,,
1.72,1.7,0.049986671,,
1.72,1.8,0.049999283,,
1.72,1.9,0.049987769,,
1.72,2,-0.1535202,,
1.74,-0.1,0.050081857,,
1.74,-0.2,0.049989106,,
1.74,-0.3,0.049998585,,
1.74,-0.4,0.049914042,,
1.74,-0.5,0.050021139,,
1.74,-0.6,0.050023705,,
1.74,-0.7,0.050016703,,
1.74,-0.8,0.049989878,,
1.74,-0.9,0.050044871,,
1.74,-1,0.049984735,,
1.74,-1.1,0.049998747,,
1.74,-1.2,0.049988807,,
1.74,-1.3,0.050073136,,
1.74,-1.4,0.04996404,,
1.74,-1.5,0.049981865,,
1.74,-1.6,0.049996954,,
1.74,-1.7,0.049985991,,
1.74,-1.8,0.049945488,,
1.74,-1.9,0.263309,,
1.74,-2,0.339004,,
1.74,0,0.05007674,,
1.74,0.1,0.049978281,,
1.74,0.2,0.049992078,,
1.74,0.3,0.050012578,,
1.74,0.4,0.050054212,,
1.74,0.5,0.050014393,,
1.74,0.6,0.049987399,,
1.74,0.7,0.050095753,,
1.74,0.8,0.050023895,,
1.74,0.9,0.049995142,,
1.74,1,0.050004791,,
1.74,1.1,0.050044027,,
1.74,1.2,0.050019749,,
1.74,1.3,0.050015118,,
1.74,1.4,0.049930577,,
1.74,1.5,0.050026243,,
1.74,1.6,0.05003423,,
1.74,1.7,0.049983001,,
1.74,1.8,0.04996873,,
1.74,1.9,-0.1632911,,
1.74,2,-0.2400135,,
1.76,-0.1,0.050069432,,
1.76,-0.2,0.049976294,,
1.76,-0.3,0.050085171,,
1.76,-0.4,0.049898948,,
