lorentzForce,siteDistance,vAve
1.76,1.70,-0.290491
1.76,1.80,-0.330187
1.76,1.90,-0.420604
1.76,2.00,-0.387275
1.78,-0.10,-0.0250448
1.78,-0.20,-0.025051
1.78,-0.30,-0.0250807
1.78,-0.40,-0.0250223
1.78,-0.50,-0.0250036
1.78,-0.60,-0.0250166
1.78,-0.70,-0.025058
1.78,-0.80,-0.0250671
1.78,-0.90,-0.0250266
1.78,-1.00,-0.0250919
1.78,-1.10,-0.0250122
1.78,-1.20,-0.0250307
1.78,-1.30,0.132408
1.78,-1.40,0.127412
1.78,-1.50,0.122506
1.78,-1.60,0.117492
1.78,-1.70,0.112495
1.78,-1.80,0.107492
1.78,-1.90,0.374911
1.78,-2.00,0.374936
1.78,0.00,-0.0250641
1.78,0.10,-0.0250649
1.78,0.20,-0.0250767
1.78,0.30,-0.025
1.78,0.40,-0.0250357
1.78,0.50,-0.0250081
1.78,0.60,-0.0250766
1.78,0.70,-0.0250487
1.78,0.80,-0.0250297
1.78,0.90,-0.0249997
1.78,1.00,-0.0250031
1.78,1.10,-0.0250569
1.78,1.20,-0.142537
1.78,1.30,-0.166571
1.78,1.40,-0.387208
1.78,1.50,-0.386565
1.78,1.60,-0.293056
1.78,1.70,-0.425019
1.78,1.80,-0.425066
1.78,1.90,-0.425088
1.78,2.00,-0.425002
1.80,-0.10,-0.0249938
1.80,-0.20,-0.0250858
1.80,-0.30,-0.0250648
1.80,-0.40,-0.0250466
1.80,-0.50,-0.0250319
1.80,-0.60,-0.0250904
1.80,-0.70,-0.0250321
1.80,-0.80,-0.0250398
1.80,-0.90,-0.0250101
1.80,-1.00,-0.0250399
1.80,-1.10,-0.0250119
1.80,-1.20,0.137456
1.80,-1.30,0.13245
1.80,-1.40,0.127458
1.80,-1.50,0.122408
1.80,-1.60,0.117507
1.80,-1.70,0.112482
1.80,-1.80,0.374936
1.80,-1.90,0.374938
1.80,-2.00,0.374945
1.80,0.00,-0.0250912
1.80,0.10,-0.0250409
1.80,0.20,-0.025035
1.80,0.30,-0.025065
1.80,0.40,-0.025006
1.80,0.50,-0.0250124
1.80,0.60,-0.0250625
1.80,0.70,-0.0250858
1.80,0.80,-0.025045
1.80,0.90,-0.0250271
1.80,1.00,-0.0250414
1.80,1.10,-0.152805
1.80,1.20,-0.173459
1.80,1.30,-0.415864
1.80,1.40,-0.241301
1.80,1.50,-0.285552
1.80,1.60,-0.393147
1.80,1.70,-0.425047
1.80,1.80,-0.425024
1.80,1.90,-0.425062
1.80,2.00,-0.425039
1.82,-0.10,-0.0250197
1.82,-0.20,-0.0250257
1.82,-0.30,-0.0249947
1.82,-0.40,-0.0249973
1.82,-0.50,-0.02508
1.82,-0.60,-0.0250755
1.82,-0.70,-0.0250405
1.82,-0.80,-0.0250806
1.82,-0.90,-0.0250126
1.82,-1.00,0.147485
1.82,-1.10,0.142458
1.82,-1.20,0.137479
1.82,-1.30,0.132452
1.82,-1.40,0.127434
1.82,-1.50,0.122423
1.82,-1.60,0.374981
1.82,-1.70,0.374924
1.82,-1.80,0.374979
1.82,-1.90,0.374949
1.82,-2.00,0.374964
1.82,0.00,-0.0250898
1.82,0.10,-0.025057
1.82,0.20,-0.0250254
1.82,0.30,-0.0250474
1.82,0.40,-0.0250353
1.82,0.50,-0.0250261
1.82,0.60,-0.0250906
1.82,0.70,-0.0250442
1.82,0.80,-0.0250363
1.82,0.90,-0.0250763
1.82,1.00,-0.156391
1.82,1.10,-0.201601
1.82,1.20,-0.425041
1.82,1.30,-0.425084
1.82,1.40,-0.425047
1.82,1.50,-0.348249
1.82,1.60,-0.425032
1.82,1.70,-0.425047
1.82,1.80,-0.425026
1.82,1.90,-0.425008
1.82,2.00,-0.425094
1.84,-0.10,-0.0250064
1.84,-0.20,-0.0250439
1.84,-0.30,-0.0250121
1.84,-0.40,-0.0250036
1.84,-0.50,-0.0250636
1.84,-0.60,-0.0250423
1.84,-0.70,-0.0250462
1.84,-0.80,-0.0250127
1.84,-0.90,-0.0250308
1.84,-1.00,0.147492
1.84,-1.10,0.14241
1.84,-1.20,0.137498
1.84,-1.30,0.132422
1.84,-1.40,0.127468
1.84,-1.50,0.374902
1.84,-1.60,0.374988
1.84,-1.70,0.374952
1.84,-1.80,0.374974
1.84,-1.90,0.374932
1.84,-2.00,0.238274
1.84,0.00,-0.0250812
1.84,0.10,-0.0250896
1.84,0.20,-0.0250675
1.84,0.30,-0.0250826
1.84,0.40,-0.0250865
1.84,0.50,-0.0250284
1.84,0.60,-0.0250484
1.84,0.70,-0.0250392
1.84,0.80,-0.0249932
1.84,0.90,-0.159964
1.84,1.00,-0.165072
1.84,1.10,-0.228775
1.84,1.20,-0.425056
1.84,1.30,-0.292311
1.84,1.40,-0.425003
1.84,1.50,-0.425081
1.84,1.60,-0.425028
1.84,1.70,-0.425043
1.84,1.80,-0.425091
1.84,1.90,-0.425039
1.84,2.00,-0.211232
1.86,-0.10,-0.0250476
1.86,-0.20,-0.0250411
1.86,-0.30,-0.0250137
1.86,-0.40,-0.02507
1.86,-0.50,-0.0250766
1.86,-0.60,-0.0250555
1.86,-0.70,-0.0250891
1.86,-0.80,-0.0250254
1.86,-0.90,0.15248
1.86,-1.00,0.147442
1.86,-1.10,0.142463
1.86,-1.20,0.137416
1.86,-1.30,0.132423
1.86,-1.40,0.374947
1.86,-1.50,0.374974
1.86,-1.60,0.374989
1.86,-1.70,0.374964
1.86,-1.80,0.374907
1.86,-1.90,0.298813
1.86,-2.00,0.141518
1.86,0.00,-0.0250042
1.86,0.10,-0.0250913
1.86,0.20,-0.0250433
1.86,0.30,-0.0249983
1.86,0.40,-0.0250615
1.86,0.50,-0.0250392
1.86,0.60,-0.0249979
1.86,0.70,-0.167548
1.86,0.80,-0.16949
1.86,0.90,-0.169049
1.86,1.00,-0.425013
1.86,1.10,-0.425061
1.86,1.20,-0.260981
1.86,1.30,-0.425044
1.86,1.40,-0.425059
1.86,1.50,-0.424994
1.86,1.60,-0.425035
1.86,1.70,-0.425027
1.86,1.80,-0.425026
1.86,1.90,-0.202083
1.86,2.00,-0.165094
1.88,-0.10,-0.0250714
1.88,-0.20,-0.0250351
1.88,-0.30,-0.025072
1.88,-0.40,-0.025001
