time,x,y,x,y,x,y,x,y,x,y,x,y
0.102,0.243271,-0.432783,0.243271,-0.432783,-0.243271,-0.432783,0.243271,0.432783,-0.243271,0.432783,-0.243271,0.432783
0.103,0.243269,-0.432367,0.243269,-0.432367,-0.243269,-0.432367,0.243269,0.432367,-0.243269,0.432367,-0.243269,0.432367
0.104,-0.243269,-0.431951,-0.243269,-0.431951,0.243269,-0.431951,-0.243269,0.431951,0.243269,0.431951,0.243269,0.431951
0.105,-0.243267,-0.431537,-0.243267,-0.431537,0.243267,-0.431537,-0.243267,0.431537,0.243267,0.431537,0.243267,0.431537
0.106,0.243266,-0.431123,0.243266,-0.431123,-0.243266,-0.431123,0.243266,0.431123,-0.243266,0.431123,-0.243266,0.431123
0.107,0.243265,-0.430709,0.243265,-0.430709,-0.243265,-0.430709,0.243265,0.430709,-0.243265,0.430709,-0.243265,0.430709
0.108,-0.243264,-0.430296,-0.243264,-0.430296,0.243264,-0.430296,-0.243264,0.430296,0.243264,0.430296,0.243264,0.430296
0.109,-0.243263,-0.429883,-0.243263,-0.429883,0.243263,-0.429883,-0.243263,0.429883,0.243263,0.429883,0.243263,0.429883
0.11,0.243261,-0.429472,0.243261,-0.429472,-0.243261,-0.429472,0.243261,0.429472,-0.243261,0.429472,-0.243261,0.429472
0.111,0.24326,-0.42906,0.24326,-0.42906,-0.24326,-0.42906,0.24326,0.42906,-0.24326,0.42906,-0.24326,0.42906
0.112,-0.243259,-0.42865,-0.243259,-0.42865,0.243259,-0.42865,-0.243259,0.42865,0.243259,0.42865,0.243259,0.42865
0.113,-0.243258,-0.428239,-0.243258,-0.428239,0.243258,-0.428239,-0.243258,0.428239,0.243258,0.428239,0.243258,0.428239
0.114,0.243256,-0.42783,0.243256,-0.42783,-0.243256,-0.42783,0.243256,0.42783,-0.243256,0.42783,-0.243256,0.42783
0.115,0.243255,-0.427421,0.243255,-0.427421,-0.243255,-0.427421,0.243255,0.427421,-0.243255,0.427421,-0.243255,0.427421
0.116,-0.243254,-0.427012,-0.243254,-0.427012,0.243254,-0.427012,-0.243254,0.427012,0.243254,0.427012,0.243254,0.427012
0.117,-0.243253,-0.426604,-0.243253,-0.426604,0.243253,-0.426604,-0.243253,0.426604,0.243253,0.426604,0.243253,0.426604
0.118,0.243251,-0.426197,0.243251,-0.426197,-0.243251,-0.426197,0.243251,0.426197,-0.243251,0.426197,-0.243251,0.426197
0.119,0.24325,-0.42579,0.24325,-0.42579,-0.24325,-0.42579,0.24325,0.42579,-0.24325,0.42579,-0.24325,0.42579
0.12,-0.243249,-0.425384,-0.243249,-0.425384,0.243249,-0.425384,-0.243249,0.425384,0.243249,0.425384,0.243249,0.425384
0.121,-0.243248,-0.424978,-0.243248,-0.424978,0.243248,-0.424978,-0.243248,0.424978,0.243248,0.424978,0.243248,0.424978
0.122,0.243246,-0.424573,0.243246,-0.424573,-0.243246,-0.424573,0.243246,0.424573,-0.243246,0.424573,-0.243246,0.424573
0.123,0.243245,-0.424169,0.243245,-0.424169,-0.243245,-0.424169,0.243245,0.424169,-0.243245,0.424169,-0.243245,0.424169
0.124,-0.243244,-0.423765,-0.243244,-0.423765,0.243244,-0.423765,-0.243244,0.423765,0.243244,0.423765,0.243244,0.423765
0.125,-0.243242,-0.423361,-0.243242,-0.423361,0.243242,-0.423361,-0.243242,0.423361,0.243242,0.423361,0.243242,0.423361
0.126,0.243241,-0.422958,0.243241,-0.422958,-0.243241,-0.422958,0.243241,0.422958,-0.243241,0.422958,-0.243241,0.422958
0.127,0.243239,-0.422556,0.243239,-0.422556,-0.243239,-0.422556,0.243239,0.422556,-0.243239,0.422556,-0.243239,0.422556
0.128,-0.243238,-0.422154,-0.243238,-0.422154,0.243238,-0.422154,-0.243238,0.422154,0.243238,0.422154,0.243238,0.422154
0.129,-0.243237,-0.421753,-0.243237,-0.421753,0.243237,-0.421753,-0.243237,0.421753,0.243237,0.421753,0.243237,0.421753
0.13,0.243235,-0.421353,0.243235,-0.421353,-0.243235,-0.421353,0.243235,0.421353,-0.243235,0.421353,-0.243235,0.421353
0.131,0.243234,-0.420952,0.243234,-0.420952,-0.243234,-0.420952,0.243234,0.420952,-0.243234,0.420952,-0.243234,0.420952
0.132,-0.243232,-0.420553,-0.243232,-0.420553,0.243232,-0.420553,-0.243232,0.420553,0.243232,0.420553,0.243232,0.420553
0.133,-0.243231,-0.420154,-0.243231,-0.420154,0.243231,-0.420154,-0.243231,0.420154,0.243231,0.420154,0.243231,0.420154
0.134,0.243229,-0.419756,0.243229,-0.419756,-0.243229,-0.419756,0.243229,0.419756,-0.243229,0.419756,-0.243229,0.419756
0.135,0.243228,-0.419358,0.243228,-0.419358,-0.243228,-0.419358,0.243228,0.419358,-0.243228,0.419358,-0.243228,0.419358
0.136,-0.243227,-0.41896,-0.243227,-0.41896,0.243227,-0.41896,-0.243227,0.41896,0.243227,0.41896,0.243227,0.41896
0.137,-0.243225,-0.418564,-0.243225,-0.418564,0.243225,-0.418564,-0.243225,0.418564,0.243225,0.418564,0.243225,0.418564
0.138,0.243223,-0.418167,0.243223,-0.418167,-0.243223,-0.418167,0.243223,0.418167,-0.243223,0.418167,-0.243223,0.418167
0.139,0.243222,-0.417772,0.243222,-0.417772,-0.243222,-0.417772,0.243222,0.417772,-0.243222,0.417772,-0.243222,0.417772
0.14,-0.243221,-0.417377,-0.243221,-0.417377,0.243221,-0.417377,-0.243221,0.417377,0.243221,0.417377,0.243221,0.417377
0.141,-0.243219,-0.416982,-0.243219,-0.416982,0.243219,-0.416982,-0.243219,0.416982,0.243219,0.416982,0.243219,0.416982
0.142,0.243217,-0.416588,0.243217,-0.416588,-0.243217,-0.416588,0.243217,0.416588,-0.243217,0.416588,-0.243217,0.416588
0.143,0.243216,-0.416195,0.243216,-0.416195,-0.243216,-0.416195,0.243216,0.416195,-0.243216,0.416195,-0.243216,0.416195
0.144,-0.243214,-0.415802,-0.243214,-0.415802,0.243214,-0.415802,-0.243214,0.415802,0.243214,0.415802,0.243214,0.415802
0.145,-0.243213,-0.415409,-0.243213,-0.415409,0.243213,-0.415409,-0.243213,0.415409,0.243213,0.415409,0.243213,0.415409
0.146,0.243211,-0.415018,0.243211,-0.415018,-0.243211,-0.415018,0.243211,0.415018,-0.243211,0.415018,-0.243211,0.415018
0.147,0.243209,-0.414626,0.243209,-0.414626,-0.243209,-0.414626,0.243209,0.414626,-0.243209,0.414626,-0.243209,0.414626
0.148,-0.243208,-0.414236,-0.243208,-0.414236,0.243208,-0.414236,-0.243208,0.414236,0.243208,0.414236,0.243208,0.414236
0.149,-0.243206,-0.413845,-0.243206,-0.413845,0.243206,-0.413845,-0.243206,0.413845,0.243206,0.413845,0.243206,0.413845
0.15,0.243205,-0.413456,0.243205,-0.413456,-0.243205,-0.413456,0.243205,0.413456,-0.243205,0.413456,-0.243205,0.413456
0.151,0.243203,-0.413067,0.243203,-0.413067,-0.243203,-0.413067,0.243203,0.413067,-0.243203,0.413067,-0.243203,0.413067
0.152,-0.243202,-0.412678,-0.243202,-0.412678,0.243202,-0.412678,-0.243202,0.412678,0.243202,0.412678,0.243202,0.412678
0.153,-0.2432,-0.41229,-0.2432,-0.41229,0.2432,-0.41229,-0.2432,0.41229,0.2432,0.41229,0.2432,0.41229
0.154,0.243198,-0.411903,0.243198,-0.411903,-0.243198,-0.411903,0.243198,0.411903,-0.243198,0.411903,-0.243198,0.411903
0.155,0.243196,-0.411516,0.243196,-0.411516,-0.243196,-0.411516,0.243196,0.411516,-0.243196,0.411516,-0.243196,0.411516
0.156,-0.243195,-0.411129,-0.243195,-0.411129,0.243195,-0.411129,-0.243195,0.411129,0.243195,0.411129,0.243195,0.411129
0.157,-0.243193,-0.410743,-0.243193,-0.410743,0.243193,-0.410743,-0.243193,0.410743,0.243193,0.410743,0.243193,0.410743
0.158,0.243191,-0.410358,0.243191,-0.410358,-0.243191,-0.410358,0.243191,0.410358,-0.243191,0.410358,-0.243191,0.410358
0.159,0.24319,-0.409973,0.24319,-0.409973,-0.24319,-0.409973,0.24319,0.409973,-0.24319,0.409973,-0.24319,0.409973
0.16,-0.243188,-0.409589,-0.243188,-0.409589,0.243188,-0.409589,-0.243188,0.409589,0.243188,0.409589,0.243188,0.409589
0.161,-0.243186,-0.409205,-0.243186,-0.409205,0.243186,-0.409205,-0.243186,0.409205,0.243186,0.409205,0.243186,0.409205
0.162,0.243184,-0.408822,0.243184,-0.408822,-0.243184,-0.408822,0.243184,0.408822,-0.243184,0.408822,-0.243184,0.408822
