time,x,y,x,y,x,y,x,y,x,y,x,y
0.071,0.0625,0.108137,0.3125,0.108137,0.5625,0.108137,0.1875,0.324876,0.4375,0.324876,0.6875,0.324876
0.072,0.0625,0.108134,0.3125,0.108134,0.5625,0.108134,0.1875,0.324879,0.4375,0.324879,0.6875,0.324879
0.073,0.0625,0.10813,0.3125,0.10813,0.5625,0.10813,0.1875,0.324882,0.4375,0.324882,0.6875,0.324882
0.074,0.0625,0.108127,0.3125,0.108127,0.5625,0.108127,0.1875,0.324886,0.4375,0.324886,0.6875,0.324886
0.075,0.0625,0.108124,0.3125,0.108124,0.5625,0.108124,0.1875,0.324889,0.4375,0.324889,0.6875,0.324889
0.076,0.0625,0.10812,0.3125,0.10812,0.5625,0.10812,0.1875,0.324892,0.4375,0.324892,0.6875,0.324892
0.077,0.0625,0.108117,0.3125,0.108117,0.5625,0.108117,0.1875,0.324896,0.4375,0.324896,0.6875,0.324896
0.078,0.0625,0.108113,0.3125,0.108113,0.5625,0.108113,0.1875,0.324899,0.4375,0.324899,0.6875,0.324899
0.079,0.0625,0.10811,0.3125,0.10811,0.5625,0.10811,0.1875,0.324903,0.4375,0.324903,0.6875,0.324903
0.08,0.0625,0.108106,0.3125,0.108106,0.5625,0.108106,0.1875,0.324907,0.4375,0.324907,0.6875,0.324907
0.081,0.0625,0.108102,0.3125,0.108102,0.5625,0.108102,0.1875,0.32491,0.4375,0.32491,0.6875,0.32491
0.082,0.0625,0.108099,0.3125,0.108099,0.5625,0.108099,0.1875,0.324914,0.4375,0.324914,0.6875,0.324914
0.083,0.0625,0.108095,0.3125,0.108095,0.5625,0.108095,0.1875,0.324918,0.4375,0.324918,0.6875,0.324918
0.084,0.0625,0.108091,0.3125,0.108091,0.5625,0.108091,0.1875,0.324922,0.4375,0.324922,0.6875,0.324922
0.085,0.0625,0.108087,0.3125,0.108087,0.5625,0.108087,0.1875,0.324926,0.4375,0.324926,0.6875,0.324926
0.086,0.0625,0.108083,0.3125,0.108083,0.5625,0.108083,0.1875,0.324929,0.4375,0.324929,0.6875,0.324929
0.087,0.0625,0.108079,0.3125,0.108079,0.5625,0.108079,0.1875,0.324933,0.4375,0.324933,0.6875,0.324933
0.088,0.0625,0.108075,0.3125,0.108075,0.5625,0.108075,0.1875,0.324937,0.4375,0.324937,0.6875,0.324937
0.089,0.0625,0.108071,0.3125,0.108071,0.5625,0.108071,0.1875,0.324941,0.4375,0.324941,0.6875,0.324941
0.09,0.0625,0.108067,0.3125,0.108067,0.5625,0.108067,0.1875,0.324945,0.4375,0.324945,0.6875,0.324945
0.091,0.0625,0.108063,0.3125,0.108063,0.5625,0.108063,0.1875,0.32495,0.4375,0.32495,0.6875,0.32495
